"filename","family","license","license_class","license_note","status_flag","status_note","attribution","institution","ledger","verdict","used_by","dims","kb","path"
"B30_076__LSE_FOUND_B29_ROOTS_ContainerRootbound_GirdledRoots_BrendanLandis_CC-BY-SA-2.0.jpg","third-party","CC-BY-SA-2","SA","ShareAlike 2.0",,"","Brendan Landis","","open licence, ShareAlike noted","clear","Book 4","452x600","57","C:\Users\dstor\lse-repo\assets\B30_076__LSE_FOUND_B29_ROOTS_ContainerRootbound_GirdledRoots_BrendanLandis_CC-BY-SA-2.0.jpg"
"B30_077__LSE_FOUND_B29_HOLD_ABIOTIC_Squash_PesticideBurn_Phytotoxicity_UMD_VERIFY.jpg","third-party",,"","","VERIFY","Rights not confirmed at filing time.","UMD","UMD","granted","clear","Book 4","1000x664","80","C:\Users\dstor\lse-repo\assets\B30_077__LSE_FOUND_B29_HOLD_ABIOTIC_Squash_PesticideBurn_Phytotoxicity_UMD_VERIFY.jpg"
"B30_078__LSE_FOUND_B29_HOLD_ABIOTIC_Bean_PesticideBurn_ScorchedLeaves_UMD_VERIFY.jpg","third-party",,"","","VERIFY","Rights not confirmed at filing time.","UMD","UMD","granted","clear","Book 4","825x1100","281","C:\Users\dstor\lse-repo\assets\B30_078__LSE_FOUND_B29_HOLD_ABIOTIC_Bean_PesticideBurn_ScorchedLeaves_UMD_VERIFY.jpg"
"B30_079__LSE_FOUND_B29_HOLD_PEST_Okra_StinkBugDamage_TwistedPods_Clemson_PERMISSION.jpg","third-party",,"","","PERMISSION","Depends on an individual permission grant.","Clemson","Clemson","granted","clear","Book 4","331x240","12","C:\Users\dstor\lse-repo\assets\B30_079__LSE_FOUND_B29_HOLD_PEST_Okra_StinkBugDamage_TwistedPods_Clemson_PERMISSION.jpg"
"B30_080__LSE_FOUND_B29_HOLD_ROOTS_Basil_RhizoctoniaRootRot_DarkRoots_MSU_GRANTED-MSU.jpg","third-party","GRANTED-MSU","GRANTED","MSU Plant & Pest Diagnostics permission, via Jan Byrne","HOLD","Parked during sourcing.","B29","MSU","granted, MSU Plant & Pest Diagnostics permission, via Jan Byrne","clear","Book 1","288x375","18","C:\Users\dstor\lse-repo\assets\B30_080__LSE_FOUND_B29_HOLD_ROOTS_Basil_RhizoctoniaRootRot_DarkRoots_MSU_GRANTED-MSU.jpg"
"B30_081__LSE_FOUND_B29_HOLD_ROOTS_Strawberry_BlackRootRot_HealthyVsDiseased_NCSU_GRANTED-NCSU.jpg","third-party","GRANTED-NCSU","GRANTED","NC State Extension permission, via Frank Louws","HOLD","Parked during sourcing.","B29","NCSU","granted, NC State Extension permission, via Frank Louws","clear","Book 1","600x520","63","C:\Users\dstor\lse-repo\assets\B30_081__LSE_FOUND_B29_HOLD_ROOTS_Strawberry_BlackRootRot_HealthyVsDiseased_NCSU_GRANTED-NCSU.jpg"
"B30_082__LSE_FOUND_B29_HOLD_DISEASE_Tomato_BacterialWilt_StreamingTest_UAEX_PERMISSION.jpg","third-party",,"","","PERMISSION","Depends on an individual permission grant.","UAEX","UAEX","granted","clear","Book 4","751x1000","88","C:\Users\dstor\lse-repo\assets\B30_082__LSE_FOUND_B29_HOLD_DISEASE_Tomato_BacterialWilt_StreamingTest_UAEX_PERMISSION.jpg"
"LSE_A02_Soil_Food_Web_Functional_Map_Ch02.png","self-created (figure)",,"","",,"","Ch02","","","self","Book 1","1024x1536","882","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A02_Soil_Food_Web_Functional_Map_Ch02.png"
"LSE_A04_Mycorrhizal_Exchange_Defense_Priming_Ch06.jpg","self-created (figure)",,"","",,"","Ch06","","","self","Book 1","1122x1402","644","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A04_Mycorrhizal_Exchange_Defense_Priming_Ch06.jpg"
"LSE_A05_Regenerative_Permaculture_Garden_System_Ch08.jpg","self-created (figure)",,"","",,"","Ch08","","","self","Book 1","1024x1536","814","C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A05_Regenerative_Permaculture_Garden_System_Ch08.jpg"
