expected_path,location,tier,determination,matched_source_relpath,target_ondisk_name,confidence,source_w,source_h,lowres_flag,gate_photographer,gate_license,subject_overlap,notes
assets/B30_073__LSE_FOUND_B29_PRACTICAL_RowCover_LowTunnel_FabricOverHoops_KathleenMoore_CC-BY-2.0.jpg,assets_root,4,unresolved,,B30_073__LSE_FOUND_B29_PRACTICAL_RowCover_LowTunnel_FabricOverHoops_KathleenMoore_CC-BY-2.0.jpg,0.0,,,,,CCBY2,,no source passes photographer+license gate
assets/B30_074__LSE_FOUND_B29_PRACTICAL_HighTunnel_Vegetables_RollUpVentilation_KathleenMoore_CC-BY-2.0.jpg,assets_root,4,unresolved,,B30_074__LSE_FOUND_B29_PRACTICAL_HighTunnel_Vegetables_RollUpVentilation_KathleenMoore_CC-BY-2.0.jpg,0.0,,,,,CCBY2,,no source passes photographer+license gate
assets/B30_075__LSE_FOUND_B29_PRACTICAL_HerbsLettuce_ColdFrame_OpenLid_ChrisAlberti_CC-BY-2.0.jpg,assets_root,4,unresolved,,B30_075__LSE_FOUND_B29_PRACTICAL_HerbsLettuce_ColdFrame_OpenLid_ChrisAlberti_CC-BY-2.0.jpg,0.0,,,,,CCBY2,,no source passes photographer+license gate
assets/B30_076__LSE_FOUND_B29_ROOTS_ContainerRootbound_GirdledRoots_BrendanLandis_CC-BY-SA-2.0.jpg,assets_root,4,unresolved,,B30_076__LSE_FOUND_B29_ROOTS_ContainerRootbound_GirdledRoots_BrendanLandis_CC-BY-SA-2.0.jpg,0.0,,,,,CCBYSA2,,no source passes photographer+license gate
assets/B30_077__LSE_FOUND_B29_HOLD_ABIOTIC_Squash_PesticideBurn_Phytotoxicity_UMD_VERIFY.jpg,assets_root,4,unresolved,,B30_077__LSE_FOUND_B29_HOLD_ABIOTIC_Squash_PesticideBurn_Phytotoxicity_UMD_VERIFY.jpg,0.0,,,,,?,,no source passes photographer+license gate
assets/B30_078__LSE_FOUND_B29_HOLD_ABIOTIC_Bean_PesticideBurn_ScorchedLeaves_UMD_VERIFY.png,assets_root,4,unresolved,,B30_078__LSE_FOUND_B29_HOLD_ABIOTIC_Bean_PesticideBurn_ScorchedLeaves_UMD_VERIFY.png,0.0,,,,,?,,no source passes photographer+license gate
assets/B30_079__LSE_FOUND_B29_HOLD_PEST_Okra_StinkBugDamage_TwistedPods_Clemson_PERMISSION.jpg,assets_root,4,unresolved,,B30_079__LSE_FOUND_B29_HOLD_PEST_Okra_StinkBugDamage_TwistedPods_Clemson_PERMISSION.jpg,0.0,,,,,?,,no source passes photographer+license gate
assets/B30_080__LSE_FOUND_B29_HOLD_ROOTS_Basil_RhizoctoniaRootRot_DarkRoots_MSU_PERMISSION.jpg,assets_root,4,unresolved,,B30_080__LSE_FOUND_B29_HOLD_ROOTS_Basil_RhizoctoniaRootRot_DarkRoots_MSU_PERMISSION.jpg,0.0,,,,,?,,no source passes photographer+license gate
assets/B30_081__LSE_FOUND_B29_HOLD_ROOTS_Strawberry_BlackRootRot_HealthyVsDiseased_NCSU_PERMISSION.jpg,assets_root,4,unresolved,,B30_081__LSE_FOUND_B29_HOLD_ROOTS_Strawberry_BlackRootRot_HealthyVsDiseased_NCSU_PERMISSION.jpg,0.0,,,,,?,,no source passes photographer+license gate
assets/B30_082__LSE_FOUND_B29_HOLD_DISEASE_Tomato_BacterialWilt_StreamingTest_UAEX_PERMISSION.jpg,assets_root,4,unresolved,,B30_082__LSE_FOUND_B29_HOLD_DISEASE_Tomato_BacterialWilt_StreamingTest_UAEX_PERMISSION.jpg,0.0,,,,,?,,no source passes photographer+license gate
assets/lse_figures/LSE_A02_Soil_Food_Web_Functional_Map_Ch02.png,lse_figures,2,rename-on-copy,New image creations final draft\LSE_A02_Soil_Food_Web_Functional_Map_Ch02.png.png,LSE_A02_Soil_Food_Web_Functional_Map_Ch02.png,0.98,1024,1536,,,,,rename-on-copy: 'LSE_A02_Soil_Food_Web_Functional_Map_Ch02.png.png' -> 'LSE_A02_Soil_Food_Web_Functional_Map_Ch02.png'
assets/lse_figures/LSE_A04_Mycorrhizal_Exchange_Defense_Priming_Ch06.png,lse_figures,2,rename-on-copy,New image creations final draft\LSE_A04_Mycorrhizal_Exchange_Defense_Priming_Ch06.png.png,LSE_A04_Mycorrhizal_Exchange_Defense_Priming_Ch06.png,0.98,1122,1402,LOWRES<1500,,,,rename-on-copy: 'LSE_A04_Mycorrhizal_Exchange_Defense_Priming_Ch06.png.png' -> 'LSE_A04_Mycorrhizal_Exchange_Defense_Priming_Ch06.png'
assets/lse_figures/LSE_A05_Regenerative_Permaculture_Garden_System_Ch08.png,lse_figures,2,rename-on-copy,New image creations final draft\LSE_A05_Regenerative_Permaculture_Garden_System_Ch08.png.png,LSE_A05_Regenerative_Permaculture_Garden_System_Ch08.png,0.98,1024,1536,,,,,rename-on-copy: 'LSE_A05_Regenerative_Permaculture_Garden_System_Ch08.png.png' -> 'LSE_A05_Regenerative_Permaculture_Garden_System_Ch08.png'
assets/lse_figures/LSE_A06_Compost_Microscope_Soil_Food_Web_Workflow_Ch09.png,lse_figures,2,rename-on-copy,New image creations final draft\LSE_A06_Compost_Microscope_Soil_Food_Web_Workflow_Ch09.png.png,LSE_A06_Compost_Microscope_Soil_Food_Web_Workflow_Ch09.png,0.98,1536,1024,,,,,rename-on-copy: 'LSE_A06_Compost_Microscope_Soil_Food_Web_Workflow_Ch09.png.png' -> 'LSE_A06_Compost_Microscope_Soil_Food_Web_Workflow_Ch09.png'
